sku,name,quantity,price
S0000161,Item 161,104,133.95
S0000162,Item 162,160,47.74
S0000163,Item 163,202,26.18
S0000164,Item 164,330,60.0
S0000165,Item 165,161,185.8
S0000166,Item 166,479,14.51
S0000167,Item 167,234,124.23
S0000168,Item 168,288,199.22
S0000169,Item 169,37,107.53
S0000170,Item 170,259,53.04
S0000171,Item 171,477,69.8
S0000172,Item 172,35,175.85
S0000173,Item 173,189,57.0
S0000174,Item 174,224,166.75
S0000175,Item 175,360,60.5
S0000176,Item 176,413,130.8
S0000177,Item 177,4,133.57
S0000178,Item 178,283,59.88
S0000179,Item 179,339,20.72
S0000180,Item 180,449,26.86
S0000181,Item 181,59,177.94
S0000182,Item 182,380,110.64
S0000183,Item 183,139,56.35
S0000184,Item 184,107,143.52
S0000185,Item 185,104,137.5
S0000186,Item 186,436,52.8
S0000187,Item 187,250,50.22
S0000188,Item 188,464,169.22
S0000189,Item 189,47,126.86
S0000190,Item 190,424,55.34
S0000191,Item 191,1,66.71
S0000192,Item 192,66,127.42
S0000193,Item 193,134,32.32
S0000194,Item 194,226,110.34
S0000195,Item 195,218,112.18
S0000196,Item 196,57,15.05
S0000197,Item 197,452,138.2
S0000198,Item 198,76,109.12
S0000199,Item 199,427,73.84
S0000200,Item 200,282,29.62
S0000201,Item 201,65,8.37
S0000202,Item 202,186,179.8
S0000203,Item 203,407,194.44
S0000204,Item 204,20,179.78
S0000205,Item 205,107,136.41
S0000206,Item 206,341,20.56
S0000207,Item 207,399,111.98
S0000208,Item 208,447,81.28
S0000209,Item 209,317,149.9
S0000210,Item 210,473,185.98
S0000211,Item 211,442,32.5
S0000212,Item 212,409,162.15
S0000213,Item 213,451,82.46
S0000214,Item 214,91,147.31
S0000215,Item 215,170,156.48
S0000216,Item 216,210,160.45
S0000217,Item 217,442,147.01
S0000218,Item 218,127,53.36
S0000219,Item 219,403,140.26
S0000220,Item 220,195,174.43
S0000221,Item 221,439,94.14
S0000222,Item 222,102,163.32
S0000223,Item 223,235,69.93
S0000224,Item 224,420,159.07
S0000225,Item 225,116,44.58
S0000226,Item 226,337,38.63
S0000227,Item 227,168,55.72
S0000228,Item 228,35,193.38
S0000229,Item 229,142,70.23
S0000230,Item 230,260,79.94
S0000231,Item 231,431,107.24
S0000232,Item 232,480,5.52
S0000233,Item 233,449,194.08
S0000234,Item 234,91,116.12
S0000235,Item 235,135,7.65
S0000236,Item 236,305,86.91
S0000237,Item 237,373,157.29
S0000238,Item 238,223,121.24
S0000239,Item 239,261,23.13
S0000240,Item 240,460,115.32
S0000241,Item 241,130,8.88
S0000242,Item 242,223,0.34
S0000243,Item 243,473,161.3
S0000244,Item 244,351,143.89
S0000245,Item 245,379,147.41
S0000246,Item 246,100,72.84
S0000247,Item 247,35,189.77
S0000248,Item 248,471,66.04
S0000249,Item 249,160,132.68
S0000250,Item 250,63,143.95
S0000251,Item 251,153,101.42
S0000252,Item 252,341,81.68
S0000253,Item 253,206,139.44
S0000254,Item 254,283,25.46
S0000255,Item 255,215,132.99
S0000256,Item 256,194,135.46
S0000257,Item 257,462,34.81
S0000258,Item 258,291,60.19
S0000259,Item 259,280,166.75
S0000260,Item 260,155,57.38
S0000261,Item 261,220,157.15
S0000262,Item 262,310,130.94
S0000263,Item 263,238,88.36
S0000264,Item 264,345,42.74
S0000265,Item 265,242,158.75
S0000266,Item 266,491,159.2
S0000267,Item 267,86,131.77
S0000268,Item 268,145,103.09
S0000269,Item 269,324,123.85
S0000270,Item 270,47,163.68
S0000271,Item 271,384,46.97
S0000272,Item 272,158,44.93
S0000273,Item 273,101,29.47
S0000274,Item 274,23,48.97
S0000275,Item 275,243,122.25
S0000276,Item 276,393,14.57
S0000277,Item 277,212,177.23
S0000278,Item 278,294,38.89
S0000279,Item 279,356,76.8
S0000280,Item 280,204,48.8
S0000281,Item 281,335,137.52
S0000282,Item 282,457,150.19
S0000283,Item 283,394,177.09
S0000284,Item 284,398,85.03
S0000285,Item 285,90,160.82
S0000286,Item 286,356,103.59
S0000287,Item 287,25,111.48
S0000288,Item 288,469,169.67
S0000289,Item 289,233,26.67
S0000290,Item 290,237,133.52
S0000291,Item 291,286,119.09
S0000292,Item 292,486,151.05
S0000293,Item 293,226,122.53
S0000294,Item 294,368,178.4
S0000295,Item 295,218,166.11
S0000296,Item 296,280,89.18
S0000297,Item 297,81,148.73
S0000298,Item 298,243,90.01
S0000299,Item 299,384,49.45
S0000300,Item 300,326,55.46
S0000301,Item 301,398,104.26
S0000302,Item 302,320,47.85
S0000303,Item 303,225,15.5
S0000304,Item 304,146,46.9
S0000305,Item 305,171,63.94
S0000306,Item 306,276,16.12
S0000307,Item 307,77,46.25
S0000308,Item 308,355,30.56
S0000309,Item 309,109,12.85
S0000310,Item 310,208,66.18
S0000311,Item 311,238,83.15
S0000312,Item 312,105,166.58
S0000313,Item 313,199,180.97
S0000314,Item 314,299,189.21
S0000315,Item 315,10,171.35
S0000316,Item 316,391,115.14
S0000317,Item 317,244,1.18
S0000318,Item 318,180,59.72
S0000319,Item 319,199,170.69
S0000320,Item 320,488,167.15
S0000321,Item 321,275,149.5
S0000322,Item 322,279,159.97
S0000323,Item 323,459,44.11
S0000324,Item 324,112,54.59
S0000325,Item 325,248,5.8
S0000326,Item 326,172,133.77
S0000327,Item 327,408,80.86
S0000328,Item 328,84,168.1
S0000329,Item 329,470,25.53
S0000330,Item 330,318,106.82
S0000331,Item 331,464,78.8
S0000332,Item 332,288,132.6
S0000333,Item 333,42,128.55
S0000334,Item 334,69,173.37
S0000335,Item 335,93,10.06
S0000336,Item 336,194,65.47
S0000337,Item 337,232,65.37
S0000338,Item 338,389,175.93
S0000339,Item 339,142,150.4
S0000340,Item 340,425,84.31
S0000341,Item 341,427,16.38
S0000342,Item 342,9,149.8
S0000343,Item 343,26,199.98
S0000344,Item 344,179,44.84
S0000345,Item 345,35,156.25
S0000346,Item 346,333,8.05
S0000347,Item 347,15,189.92
S0000348,Item 348,102,167.85
S0000349,Item 349,318,30.48
S0000350,Item 350,64,94.71
S0000351,Item 351,58,112.79
S0000352,Item 352,111,93.01
S0000353,Item 353,131,153.38
S0000354,Item 354,85,121.18
S0000355,Item 355,493,149.59
S0000356,Item 356,58,155.56
S0000357,Item 357,83,192.94
S0000358,Item 358,55,115.74
S0000359,Item 359,475,62.39
S0000360,Item 360,346,181.61
S0000361,Item 361,192,79.33
S0000362,Item 362,366,39.67
S0000363,Item 363,303,138.12
S0000364,Item 364,321,48.57
S0000365,Item 365,356,154.5
S0000366,Item 366,435,136.85
S0000367,Item 367,412,24.21
S0000368,Item 368,289,156.53
S0000369,Item 369,177,106.55
S0000370,Item 370,338,74.11
S0000371,Item 371,259,129.51
S0000372,Item 372,6,169.92
S0000373,Item 373,421,98.04
S0000374,Item 374,221,192.16
S0000375,Item 375,325,178.32
S0000376,Item 376,235,141.46
S0000377,Item 377,222,35.23
S0000378,Item 378,267,193.09
S0000379,Item 379,138,123.18
S0000380,Item 380,470,107.63
S0000381,Item 381,247,92.97
S0000382,Item 382,422,146.21
S0000383,Item 383,137,64.46
S0000384,Item 384,125,166.15
S0000385,Item 385,44,55.79
S0000386,Item 386,230,48.77
S0000387,Item 387,237,113.97
S0000388,Item 388,342,75.8
S0000389,Item 389,14,98.86
S0000390,Item 390,166,36.37
S0000391,Item 391,108,70.96
S0000392,Item 392,132,68.07
S0000393,Item 393,450,119.23
S0000394,Item 394,450,55.25
S0000395,Item 395,5,103.33
S0000396,Item 396,97,17.12
S0000397,Item 397,368,81.29
S0000398,Item 398,284,151.63
S0000399,Item 399,353,95.22
S0000400,Item 400,364,98.16
S0000401,Item 401,405,3.45
S0000402,Item 402,150,44.32
S0000403,Item 403,354,48.66
S0000404,Item 404,339,116.31
S0000405,Item 405,242,110.69
S0000406,Item 406,176,85.1
S0000407,Item 407,381,110.08
S0000408,Item 408,180,140.57
S0000409,Item 409,138,61.32
S0000410,Item 410,118,24.13
S0000411,Item 411,98,63.11
S0000412,Item 412,380,107.17
S0000413,Item 413,390,138.03
S0000414,Item 414,98,43.28
S0000415,Item 415,247,55.3
S0000416,Item 416,301,195.32
S0000417,Item 417,268,119.36
S0000418,Item 418,51,166.53
S0000419,Item 419,151,45.5
S0000420,Item 420,91,60.45
S0000421,Item 421,362,106.83
S0000422,Item 422,140,9.1
S0000423,Item 423,27,110.67
S0000424,Item 424,357,188.82
S0000425,Item 425,326,173.69
S0000426,Item 426,251,20.52
S0000427,Item 427,6,114.81
S0000428,Item 428,240,95.74
S0000429,Item 429,174,36.87
S0000430,Item 430,26,50.5
S0000431,Item 431,441,95.55
S0000432,Item 432,420,13.07
S0000433,Item 433,251,14.82
S0000434,Item 434,322,137.29
S0000435,Item 435,77,29.84
S0000436,Item 436,288,189.83
S0000437,Item 437,43,198.78
S0000438,Item 438,60,111.61
S0000439,Item 439,213,121.26
S0000440,Item 440,404,123.68
S0000441,Item 441,397,104.51
S0000442,Item 442,230,181.7
S0000443,Item 443,152,172.03
S0000444,Item 444,219,61.08
S0000445,Item 445,317,12.05
S0000446,Item 446,491,148.02
S0000447,Item 447,485,152.55
S0000448,Item 448,320,42.21
S0000449,Item 449,338,16.24
S0000450,Item 450,122,34.76
S0000451,Item 451,38,31.31
S0000452,Item 452,209,90.1
S0000453,Item 453,304,93.98
S0000454,Item 454,16,46.3
S0000455,Item 455,361,56.54
S0000456,Item 456,440,90.81
S0000457,Item 457,351,46.68
S0000458,Item 458,135,157.57
S0000459,Item 459,320,117.96
S0000460,Item 460,411,186.73
S0000461,Item 461,217,22.96
S0000462,Item 462,115,129.53
S0000463,Item 463,465,53.13
S0000464,Item 464,72,14.28
S0000465,Item 465,84,158.53
S0000466,Item 466,304,149.79
S0000467,Item 467,291,184.24
S0000468,Item 468,224,24.87
S0000469,Item 469,352,60.82
S0000470,Item 470,206,188.54
S0000471,Item 471,256,108.0
S0000472,Item 472,224,16.09
S0000473,Item 473,20,177.88
S0000474,Item 474,376,64.46
S0000475,Item 475,128,5.17
S0000476,Item 476,117,192.38
S0000477,Item 477,428,172.1
S0000478,Item 478,300,190.16
S0000479,Item 479,391,134.46
S0000480,Item 480,137,115.25
S0000481,Item 481,390,151.25
S0000482,Item 482,240,103.79
S0000483,Item 483,226,183.21
S0000484,Item 484,92,199.39
S0000485,Item 485,223,126.96
S0000486,Item 486,251,193.81
S0000487,Item 487,240,69.59
S0000488,Item 488,170,64.21
S0000489,Item 489,53,171.55
S0000490,Item 490,168,82.33
S0000491,Item 491,253,57.64
S0000492,Item 492,483,80.09
S0000493,Item 493,389,110.02
S0000494,Item 494,232,17.61
S0000495,Item 495,129,64.65
S0000496,Item 496,496,154.51
S0000497,Item 497,442,102.92
S0000498,Item 498,0,131.53
S0000499,Item 499,277,92.4
S0000500,Item 500,27,37.52
S0000501,Item 501,185,124.53
S0000502,Item 502,255,125.08
S0000503,Item 503,389,10.32
S0000504,Item 504,136,109.84
S0000505,Item 505,474,57.61
S0000506,Item 506,450,139.65
S0000507,Item 507,62,5.77
S0000508,Item 508,322,121.77
S0000509,Item 509,122,141.96
S0000510,Item 510,159,110.17
S0000511,Item 511,282,81.6
S0000512,Item 512,115,198.45
S0000513,Item 513,467,22.69
S0000514,Item 514,484,23.49
S0000515,Item 515,426,30.79
S0000516,Item 516,477,143.32
S0000517,Item 517,260,141.08
S0000518,Item 518,212,166.94
S0000519,Item 519,241,48.75
S0000520,Item 520,282,28.93
S0000521,Item 521,97,184.37
S0000522,Item 522,260,149.26
S0000523,Item 523,69,172.81
S0000524,Item 524,141,154.54
S0000525,Item 525,437,82.99
S0000526,Item 526,478,157.54
S0000527,Item 527,136,164.11
S0000528,Item 528,144,145.21
S0000529,Item 529,428,117.39
S0000530,Item 530,337,97.93
S0000531,Item 531,76,89.31
S0000532,Item 532,247,69.02
S0000533,Item 533,282,152.57
S0000534,Item 534,193,91.07
S0000535,Item 535,164,173.92
S0000536,Item 536,357,47.76
S0000537,Item 537,196,46.71
S0000538,Item 538,397,82.16
S0000539,Item 539,162,148.94
S0000540,Item 540,361,182.69
S0000541,Item 541,195,77.22
S0000542,Item 542,339,158.48
S0000543,Item 543,333,196.16
S0000544,Item 544,253,192.96
S0000545,Item 545,64,100.46
S0000546,Item 546,302,66.4
S0000547,Item 547,51,174.84
S0000548,Item 548,225,19.94
S0000549,Item 549,466,91.39
S0000550,Item 550,369,28.83
S0000551,Item 551,445,130.96
S0000552,Item 552,79,14.97
S0000553,Item 553,400,193.84
S0000554,Item 554,173,124.65
S0000555,Item 555,203,129.97
S0000556,Item 556,436,65.71
S0000557,Item 557,345,171.87
S0000558,Item 558,194,190.83
S0000559,Item 559,320,143.74
S0000560,Item 560,388,97.59
S0000561,Item 561,277,7.18
S0000562,Item 562,35,46.95
S0000563,Item 563,350,184.19
S0000564,Item 564,116,149.35
S0000565,Item 565,222,195.67
S0000566,Item 566,389,126.75
S0000567,Item 567,446,20.1
S0000568,Item 568,85,138.8
S0000569,Item 569,462,5.79
S0000570,Item 570,166,159.23
S0000571,Item 571,150,71.69
S0000572,Item 572,220,29.11
S0000573,Item 573,271,82.41
S0000574,Item 574,349,158.5
S0000575,Item 575,87,35.01
S0000576,Item 576,312,174.17
S0000577,Item 577,317,136.63
S0000578,Item 578,254,182.57
S0000579,Item 579,73,46.44
S0000580,Item 580,326,50.8
S0000581,Item 581,130,133.37
S0000582,Item 582,460,160.93
S0000583,Item 583,461,57.53
S0000584,Item 584,279,31.6
S0000585,Item 585,226,189.05
S0000586,Item 586,300,59.83
S0000587,Item 587,492,84.86
S0000588,Item 588,128,91.37
S0000589,Item 589,154,39.84
S0000590,Item 590,196,170.67
S0000591,Item 591,54,47.44
S0000592,Item 592,292,71.79
S0000593,Item 593,151,198.54
S0000594,Item 594,151,4.39
S0000595,Item 595,424,131.65
S0000596,Item 596,140,1.62
S0000597,Item 597,442,137.16
S0000598,Item 598,381,194.72
S0000599,Item 599,466,121.28
S0000600,Item 600,254,166.57
S0000601,Item 601,462,57.24
S0000602,Item 602,409,46.02
S0000603,Item 603,410,70.46
S0000604,Item 604,325,38.03
S0000605,Item 605,128,135.55
S0000606,Item 606,369,153.49
S0000607,Item 607,348,167.67
S0000608,Item 608,321,19.43
S0000609,Item 609,321,129.27
S0000610,Item 610,158,157.72
S0000611,Item 611,17,115.91
S0000612,Item 612,374,26.28
S0000613,Item 613,465,59.02
S0000614,Item 614,382,83.1
S0000615,Item 615,102,26.43
S0000616,Item 616,276,175.29
S0000617,Item 617,187,106.17
S0000618,Item 618,467,54.51
S0000619,Item 619,84,51.39
S0000620,Item 620,422,188.84
S0000621,Item 621,495,161.3
S0000622,Item 622,382,174.08
S0000623,Item 623,411,23.03
S0000624,Item 624,493,15.06
S0000625,Item 625,386,193.3
S0000626,Item 626,440,135.26
S0000627,Item 627,345,195.99
S0000628,Item 628,495,169.15
S0000629,Item 629,285,73.16
S0000630,Item 630,404,78.91
S0000631,Item 631,135,107.31
S0000632,Item 632,232,73.72
S0000633,Item 633,383,134.47
S0000634,Item 634,299,76.21
S0000635,Item 635,326,188.06
S0000636,Item 636,55,134.97
S0000637,Item 637,241,5.0
S0000638,Item 638,452,188.63
S0000639,Item 639,167,183.05
S0000640,Item 640,113,129.53
S0000641,Item 641,325,164.77
S0000642,Item 642,465,140.22
S0000643,Item 643,332,81.66
S0000644,Item 644,71,9.07
S0000645,Item 645,19,60.87
S0000646,Item 646,252,23.22
S0000647,Item 647,120,177.45
S0000648,Item 648,69,77.73
S0000649,Item 649,189,134.1
S0000650,Item 650,380,139.3
S0000651,Item 651,276,83.83
S0000652,Item 652,380,145.32
S0000653,Item 653,453,82.98
S0000654,Item 654,50,166.74
S0000655,Item 655,315,81.62
S0000656,Item 656,487,55.95
S0000657,Item 657,353,74.11
S0000658,Item 658,227,88.94
S0000659,Item 659,120,171.09
S0000660,Item 660,50,196.19
S0000661,Item 661,188,108.89
S0000662,Item 662,500,128.97
S0000663,Item 663,31,79.63
S0000664,Item 664,97,193.64
S0000665,Item 665,485,169.61
S0000666,Item 666,232,18.33
S0000667,Item 667,108,128.34
S0000668,Item 668,305,194.22
S0000669,Item 669,25,157.36
S0000670,Item 670,124,197.76
S0000671,Item 671,402,112.92
S0000672,Item 672,35,165.96
S0000673,Item 673,283,41.43
S0000674,Item 674,110,162.61
S0000675,Item 675,119,65.71
S0000676,Item 676,75,157.73
S0000677,Item 677,305,0.57
S0000678,Item 678,439,196.81
S0000679,Item 679,66,108.04
S0000680,Item 680,408,34.9
S0000681,Item 681,338,173.29
S0000682,Item 682,67,2.97
S0000683,Item 683,404,157.69
S0000684,Item 684,301,64.75
S0000685,Item 685,89,53.07
S0000686,Item 686,64,148.34
S0000687,Item 687,269,22.73
S0000688,Item 688,32,95.25
S0000689,Item 689,398,72.41
S0000690,Item 690,303,21.81
S0000691,Item 691,257,44.31
S0000692,Item 692,314,8.67
S0000693,Item 693,401,181.75
S0000694,Item 694,337,104.29
S0000695,Item 695,234,128.67
S0000696,Item 696,15,12.17
S0000697,Item 697,245,169.46
S0000698,Item 698,218,137.22
S0000699,Item 699,251,142.48
S0000700,Item 700,227,14.7
S0000701,Item 701,41,64.42
S0000702,Item 702,75,13.14
S0000703,Item 703,140,124.86
S0000704,Item 704,299,109.67
S0000705,Item 705,166,76.18
S0000706,Item 706,305,106.11
S0000707,Item 707,232,101.11
S0000708,Item 708,220,19.84
S0000709,Item 709,359,22.88
S0000710,Item 710,335,130.18
S0000711,Item 711,393,110.27
S0000712,Item 712,443,43.0
S0000713,Item 713,231,177.62
S0000714,Item 714,211,67.79
S0000715,Item 715,232,79.75
S0000716,Item 716,373,19.02
S0000717,Item 717,218,62.5
S0000718,Item 718,130,74.86
S0000719,Item 719,78,137.36
S0000720,Item 720,242,13.43
S0000721,Item 721,425,17.07
S0000722,Item 722,221,19.31
S0000723,Item 723,378,74.53
S0000724,Item 724,66,111.27
S0000725,Item 725,300,191.32
S0000726,Item 726,287,65.93
S0000727,Item 727,62,82.16
S0000728,Item 728,447,133.07
S0000729,Item 729,384,84.59
S0000730,Item 730,468,144.21
S0000731,Item 731,495,57.53
S0000732,Item 732,159,70.33
S0000733,Item 733,295,101.48
S0000734,Item 734,79,131.35
S0000735,Item 735,114,169.45
S0000736,Item 736,179,169.07
S0000737,Item 737,188,22.98
S0000738,Item 738,142,114.82
S0000739,Item 739,413,85.82
S0000740,Item 740,287,194.91
S0000741,Item 741,419,124.34
S0000742,Item 742,345,128.54
S0000743,Item 743,13,121.8
S0000744,Item 744,336,165.89
S0000745,Item 745,136,5.79
S0000746,Item 746,139,140.54
S0000747,Item 747,158,184.31
S0000748,Item 748,179,1.22
S0000749,Item 749,445,28.65
S0000750,Item 750,336,80.16
S0000751,Item 751,72,148.19
S0000752,Item 752,497,6.13
S0000753,Item 753,382,106.1
S0000754,Item 754,192,83.97
S0000755,Item 755,174,31.48
S0000756,Item 756,159,144.32
S0000757,Item 757,397,188.28
S0000758,Item 758,305,16.99
S0000759,Item 759,26,31.12
S0000760,Item 760,386,123.57
S0000761,Item 761,345,16.32
S0000762,Item 762,226,132.39
S0000763,Item 763,248,121.42
S0000764,Item 764,212,54.63
S0000765,Item 765,386,102.47
S0000766,Item 766,176,85.98
S0000767,Item 767,145,135.64
S0000768,Item 768,303,97.33
S0000769,Item 769,341,61.68
S0000770,Item 770,112,79.05
S0000771,Item 771,306,10.96
S0000772,Item 772,104,60.28
S0000773,Item 773,108,153.47
S0000774,Item 774,391,51.1
S0000775,Item 775,167,24.0
S0000776,Item 776,254,149.4
S0000777,Item 777,89,25.84
S0000778,Item 778,272,140.73
S0000779,Item 779,256,111.74
S0000780,Item 780,342,161.24
S0000781,Item 781,36,79.41
S0000782,Item 782,379,8.46
S0000783,Item 783,9,91.95
S0000784,Item 784,39,172.42
S0000785,Item 785,294,85.86
S0000786,Item 786,207,141.9
S0000787,Item 787,213,57.9
S0000788,Item 788,207,4.17
S0000789,Item 789,166,34.37
S0000790,Item 790,485,123.63
S0000791,Item 791,425,137.92
S0000792,Item 792,185,17.63
S0000793,Item 793,432,21.17
S0000794,Item 794,223,117.77
S0000795,Item 795,268,15.73
S0000796,Item 796,445,62.05
S0000797,Item 797,173,44.31
S0000798,Item 798,398,33.63
S0000799,Item 799,261,126.64
S0000800,Item 800,271,101.99
S0000801,Item 801,463,155.25
S0000802,Item 802,179,145.48
S0000803,Item 803,419,129.09
S0000804,Item 804,75,47.25
S0000805,Item 805,74,51.19
S0000806,Item 806,88,120.48
S0000807,Item 807,389,151.83
S0000808,Item 808,38,35.43
S0000809,Item 809,395,125.59
S0000810,Item 810,237,150.89
S0000811,Item 811,389,115.89
S0000812,Item 812,348,184.83
S0000813,Item 813,289,128.6
S0000814,Item 814,319,64.64
S0000815,Item 815,497,125.44
S0000816,Item 816,77,87.95
S0000817,Item 817,240,88.44
S0000818,Item 818,155,159.27
S0000819,Item 819,302,11.23
S0000820,Item 820,259,14.84
S0000821,Item 821,236,90.38
S0000822,Item 822,29,73.75
S0000823,Item 823,146,15.35
S0000824,Item 824,442,195.47
S0000825,Item 825,46,123.0
S0000826,Item 826,259,76.9
S0000827,Item 827,297,110.86
S0000828,Item 828,405,147.78
S0000829,Item 829,21,89.95
S0000830,Item 830,414,114.33
S0000831,Item 831,96,64.31
S0000832,Item 832,243,100.27
S0000833,Item 833,490,12.37
S0000834,Item 834,52,162.19
S0000835,Item 835,428,68.69
S0000836,Item 836,365,16.87
S0000837,Item 837,330,34.51
S0000838,Item 838,126,141.52
S0000839,Item 839,224,104.81
S0000840,Item 840,312,31.75
S0000841,Item 841,190,183.59
S0000842,Item 842,198,81.75
S0000843,Item 843,173,135.78
S0000844,Item 844,26,157.85
S0000845,Item 845,331,66.93
S0000846,Item 846,168,18.9
S0000847,Item 847,347,77.31
S0000848,Item 848,129,144.75
S0000849,Item 849,336,192.88
S0000850,Item 850,308,174.66
S0000851,Item 851,170,16.3
S0000852,Item 852,339,28.29
S0000853,Item 853,179,62.05
S0000854,Item 854,335,139.7
S0000855,Item 855,200,25.79
S0000856,Item 856,362,187.6
S0000857,Item 857,158,111.78
S0000858,Item 858,329,158.33
S0000859,Item 859,416,25.56
S0000860,Item 860,359,165.79
S0000861,Item 861,378,199.43
S0000862,Item 862,467,105.28
S0000863,Item 863,330,134.09
S0000864,Item 864,260,72.37
S0000865,Item 865,185,61.77
S0000866,Item 866,486,42.84
S0000867,Item 867,485,153.23
S0000868,Item 868,98,45.31
S0000869,Item 869,70,30.99
S0000870,Item 870,151,168.89
S0000871,Item 871,51,101.54
S0000872,Item 872,276,167.02
